Unnamed: 0,번호,제목,저자,출판사,출판일
,5,MR plot: A big data tool for distinguishing distributions,"Ardakani, Omid M.; Asadi, Majid; Ebrahimi, Nader; Soofi, Ehsan S.","John Wiley & Sons, Ltd",2020
,6,Distributed subdata selection for big data via sampling-based approach,"Zhang, Haixiang; Wang, HaiYing","Elsevier Science B.V., Amsterdam.",2021
,7,A watchdog approach - name-matching algorithm for big data risk intelligence,"Kirubakaran, Anusuya; Aramudhan, M.",Inderscience,2018
,8,An intelligent approach to Big Data analytics for sustainable retail environment using Apriori-MapReduce framework,"Verma, Neha; Singh, Jatinder",Emerald Group Publishing Limited,2017
,9,A Framework for Evaluating Design Methodologies for Big Data Warehouses: Measurement of the Design Process,Francesco Di Tria; Ezio Lefons; Filippo Tangorra,Idea Group Pub,2018
,10,Exploring the paths to big data analytics implementation success in banking and financial service: an integrated approach,"Hajiheydari, Nastaran; Delgosha, Mohammad Soltani; Wang, Yichuan; Olya, Hossein",Emerald Group Publishing Limited,2021
,11,Responding to market turbulence by big data analytics and mass customization capability,"Sheng, Hongyan; Feng, Taiwen; Chen, Lucheng; Chu, Dianhui",Emerald Group Publishing Limited,2021
,12,Advancing science and technology with big data analytics,"Li, Jia","John Wiley & Sons, Ltd",2018
,13,Bayesian consensus clustering with LIME for security in big data,"Balamurugan, S.; Thangaraj, M.",Inderscience,2021
,14,Predicting the ratings of Amazon products using Big Data,"Woo, Jongwook; Mishra, Monika",John Wiley & Sons Ltd,2021
,15,Modeling and Evaluating the Effects of Big Data Storage Resource Allocation in Global Scale Cloud Architectures,Enrico Barbierato; Marco Gribaudo; Mauro Iacono,Idea Group Pub,2016
,16,Telecom fraud detection with big data analytics,"Terzi, Duygu Sinanç; Sağıroğlu, Şeref; Kılınç, Hakan",Inderscience,2022
,17,Analysing repeat blood donation behavior via big data,"Chen, Xu; Liu, Lei; Guo, Xinyu",Emerald Group Publishing Limited,2020
,18,T-PCCE: Twitter Personality based Communicative Communities Extraction System for Big Data,"Kafeza, Eleanna; Kanavos, Andreas; Makris, Christos; Pispirigos, Georgios; Vikatos, Pantelis",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,19,"A Survey on Spark Ecosystem: Big Data Processing Infrastructure, Machine Learning, and Applications","Tang, Shanjiang; He, Bingsheng; Yu, Ce; Li, Yusen; Li, Kun",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022
,20,Enhanced Graph Transforming V2 Algorithm for Non-Simple Graph in Big Data Pre-Processing,"Sutedi, Sutedi",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,21,VA-Store: A Virtual Approximate Store Approach to Supporting Repetitive Big Data in Genome Sequence Analyses,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,22,Mining Suspicious Tax Evasion Groups in Big Data,"Tian, F.; Lan, T.; Chao, K.; Godwin, N.; Zheng, Q.; Shah, N.; Zhang, F.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,23,An uncertainty measure and fusion rule for conflict evidences of big data via Dempster–Shafer theory,"Dutta, Palash",Taylor & Francis,2018
,24,K Nearest Neighbour Joins for Big Data on MapReduce: A Theoretical and Experimental Analysis,"Song, G.; Rochas, J.; Beze, L. E.; Huet, F.; Magoules, F.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,25,A Multi-Step Nonlinear Dimension-Reduction Approach with Applications to Big Data,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,26,Bit-Oriented Sampling for Aggregation on Big Data,"Hu, Huan; Li, Jianzhong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,27,A Novel Pipeline Approach for Efficient Big Data Broadcasting,"Wu, C.; Ku, C.; Ho, J.; Chen, M.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,28,A Privacy-Preserving Distributed Contextual Federated Online Learning Framework with Big Data Support in Social Recommender Systems,"Zhou, Pan; Wang, Kehao; Guo, Linke; Gong, Shimin; Zheng, Bolong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,29,Bias Correction in a Small Sample from Big Data,"Jianguo, L.; Dingding, L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,30,i$^2$ MapReduce: Incremental MapReduce for Mining Evolving Big Data,"Yanfeng, Z.; Shimin, C.; Qiang, W.; Ge, Y.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2015
,31,On the Feasibility of Distributed Kernel Regression for Big Data,"Xu, Chen; Zhang, Yongquan; Li, Runze; Wu, Xindong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,32,Security and Privacy Implications on Database Systems in Big Data Era: A Survey,"Samaraweera, G. Dumindu; Chang, J. Morris",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,33,A Semi-Automatic Design Methodology for (Big) Data Warehouse Transforming Facts into Dimensions,"Sautot, Lucile; Bimonte, Sandro; Journaux, Ludovic",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,34,Web Media and Stock Markets : A Survey and Future Directions from a Big Data Perspective,"Li, Q.; Chen, Y.; Wang, J.; Chen, Y.; Chen, H.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,35,Distributed Bayesian Matrix Decomposition for Big Data Mining and Clustering,"Zhang, Chihao; Yang, Yang; Zhou, Wei; Zhang, Shihua",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022
,36,"Towards Big Linked Data: A Large-Scale, Distributed Semantic Data Storage",Bo Hu; Nuno Carvalho; Takahide Matsutsuka,Idea Group Pub,2013
,37,A Data-Driven Sequential Localization Framework for Big Telco Data,"Zhu, Fangzhou; Yuan, Mingxuan; Xie, Xike; Wang, Ting; Zhao, Shenglin; Rao, Weixiong; Zeng, Jia",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,38,Effective and efficient distributed management of big clinical data: a framework,"Cuzzocrea, Alfredo; Grasso, Giorgio Mario; Nolich, Massimiliano",Inderscience,2019
,39,A Scalable Data Chunk Similarity Based Compression Approach for Efficient Big Sensing Data Processing on Cloud,"Yang, C.; Chen, J.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017
,40,A Scalable Multi-Data Sources Based Recursive Approximation Approach for Fast Error Recovery in Big Sensing Data on Cloud,"Yang, Chi; Xu, Xianghua; Ramamohanarao, Kotagiri; Chen, Jinjun",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,41,Extracting Kernel Dataset from Big Sensory Data in Wireless Sensor Networks,"Cheng,  Siyao; Cai,  Zhipeng; Li,  Jianzhong; Gao,  Hong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017
,42,Efficient and Distributed Generalized Canonical Correlation Analysis for Big Multiview Data,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,43,Scalable Algorithms for Nearest-Neighbor Joins on Big Trajectory Data,"Fang,  Yixiang; Cheng,  Reynold; Tang,  Wenbin; Maniu,  Silviu; Yang,  Xuan",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,44,Skia: Scalable and Efficient In-Memory Analytics for Big Spatial-Textual Data,"Xu, Yang; Yao, Bin; Wang, Zhi-Jie; Gao, Xiaofeng; Xie, Jiong; Guo, Minyi",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,45,Parallel Fractional Hot-Deck Imputation and Variance Estimation for Big Incomplete Data Curing,"Yang, Yicheng; Kim, Jae Kwang; Cho, In Ho",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022
,46,Emulated order identification for models of big time series data,"Wu, Brian; Drignei, Dorin","John Wiley & Sons, Ltd",2021
,47,Incremental Factorization of Big Time Series Data with Blind Factor Approximation,"Chen, Dan; Tang, Yunbo; Zhang, Hao; Wang, Lizhe; Li, Xiaoli",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,48,Vecchia–Laplace approximations of generalized Gaussian processes for big non-Gaussian spatial data,"Zilber, Daniel; Katzfuss, Matthias","Elsevier Science B.V., Amsterdam.",2021
,49,Handling Big Dimensions in Distrubted Data Warehouses using the DWS Technique,"Costa, M.; Madeira, H.","ACM,",2004
,50,Data access as a big competitive advantage: evidence from China's car-hailing platforms,"Huang, Lei; Zhao, Yandong; He, Guangxi; Lu, Yangxu; Zhang, Juanjuan; Wu, Peiyi",Emerald Publishing,2020
,51,EU data privacy laws face big shake-up,"Mullock, J.",Palgrave Macmillan,2012
,52,"`Big data' and the analytics course Given student expectations and industry demands, it's time to re-frame content to make analytics course big-data friendly","Bell, P.C.",INSTITUTE FOR OPERATIONS RESEARCH AND THE MANAGEMENT,2014
,53,Big-data: transformation from heterogeneous data to semantically-enriched simplified data,"Malik, K. R.",Springer Science + Business Media,2016
,54,"Editorial Commentary: ""Mo' Data, Mo' Problems""? ""Big Data"" From National Database Studies in Orthopaedic Research and Concerns Over Generalizability","Saltzman, Bryan M.","Elsevier Science B.V., Amsterdam",2019
,55,"Oracle Sparc Accelerates Big Data Oracle's recent Sparc processors integrate hardware acceleration for database software, big-data analytics, and security. They also enable compression of in-memory databases",unknown,MICRODESIGN RESOURCES,2016
,56,Working the fields of big data: Using big-data-augmented online ethnography to study candidate–candidate interaction at election time,"Laaksonen, Salla-Maaria; Nelimarkka, Matti; Tuokko, Mari; Marttila, Mari; Kekkonen, Arto; Villi, Mikko",Taylor and Francis,2017
,57,32.5 ARE YOU READY FOR BIG DATA? GOVERNANCE IN BIG-DATA RESEARCH,"Scheepers, F. E.; Deschamps, P.",Elsevier,2016
,58,32.5 ARE YOU READY FOR BIG DATA? GOVERNANCE IN BIG-DATA RESEARCH,"Scheepers, Floortje E.; Deschamps, Peter",Elsevier,2016
,59,Hazy: Making It Easier to Build and Maintain Big-Data Analytics Racing to unleash the full potential of big data with the latest statistical and machine-learning techniques,"Kumar, A.; Niu, F.; Re, C.",ACM ASSOCIATION FOR COMPUTING MACHINERY,2013
,60,Big-Data Streaming Applications Scheduling with Online Learning and Concept Drift Detection,"Kanoun, Karim; van der Schaar, Mihaela",IEEE Computer Society,2015
,61,Big-Data and the Question of Horizontal and Vertical Intelligence: A Discussion on Disaster Management,"Benaben,  Frederick; Montarnal,  Aurelie; Fertier,  Audrey; Truptil,  Sebastien",Springer.,2016
,62,Big-data x-ray phase contrast imaging simulation challenges [9594-17],unknown,The Society,2015
,63,Big-Data Approaches for Bioinformatics Workflows: A Comparative Assessment,"Nunes,  Rickey T. P.; Deshpande,  Santosh L.",Springer,2016
,64,"Big-Data - Theoretical, Engineering and Analytics Perspective","Agneeswaran, V.S.",SPRINGER-VERLAG,2012
,65,Big-Data Applications in the Government Sector,"Kim, G.-H.; Trimi, S.; Chung, J.-H.",ACM ASSOCIATION FOR COMPUTING MACHINERY,2014
,66,Big-data business models: A critical literature review and multiperspective research framework,"Wiener, Martin; Saunders, Carol; Marabelli, Marco",Palgrave Macmillan,2020
,67,Big-Data Reflection High Energy Electron Diffraction Analysis for Understanding Epitaxial Film Growth Processes,"Vasudevan, R.K.; Tselev, A.; Baddorf, A.P.; Kalinin, S.V.",AMERICAN CHEMICAL SOCIETY,2014
,68,Big-data clustering with interval type-2 fuzzy uncertainty modeling in gene expression datasets,"Shukla, Amit K.; Muhuri, Pranab K.","Elsevier Science B.V., Amsterdam.",2019
,69,Big-Data Tensor Recovery for High-Dimensional Uncertainty Quantification of Process Variations,"Zhang, Z.; Weng, T.; Daniel, L.",IEEE,2017
,70,Big-data Feature Screening Using Bregman Divergence,"Cheng, J.; Cheng, Q.; Zargham, M.",United States; CSREA,2011
,71,Big-data-driven safety decision-making: A conceptual framework and its influencing factors,"Huang, Lang; Wu, Chao; Wang, Bing; Ouyang, Qiumei","Elsevier Science B.V., Amsterdam.",2018
,72,Big-data and machine learning to revamp computational toxicology and its use in risk assessment,"Luechtefeld, T.; Rowlands, C.; Hartung, T.",Royal Society of Chemistry,2018
,73,Big-Data Challenge Advances highlight big issues,unknown,BEIJING REVIEW,2014
,74,"Big-Data Analytics Drives Parking Policy: Evaluating Adherence to Meter Time Limits in Washington, D.C","Liang,  Xiaomeng; Pérez,  Benito O.; Dey,  Soumya S.; Haney,  Heather; Kim,  Jasmin Y.","Washington, DC; National Academy Press; 1998",2016
,75,Big-Data Based Online State of Charge Estimation and Energy Consumption Prediction for Electric Vehicles,"Zhang,  Zhiyun; Huang,  Miaohua; Chen,  Yupu; Gao,  Dong",Society of Automotive Engineers,2016
,76,Big-data for building energy performance: Lessons from assembling a very large national database of building energy use,Paul A. Mathew; Laurel N. Dunn,ELSEVIER,2015
,77,Big-Data Cloud Services Platform for Growth Enterprises with Adaptive Exception Handling and Parallelized Data Mining,"Wen, Yazhi; Bo, Hu; Wen, Bin",Springer,2017
,78,Big-data analytics framework for incorporating smallholders in sustainable palm oil production,"Shukla, Manish; Tiwari, Manoj Kumar",Taylor & Francis,2017
,79,Big-Data Based Real-Time Interactive Growth Management System in Wireless Communications,"Kim, Jonghun; Jang, Heetae; Kim, Jong Tak; Pan, Hee-Jun; Park, Roy C.",Springer Nature,2018
,80,Big-Data Method to Advance Public Health Informatics: Smarter Public Health Prevention System (SPHPS),"Jalali,  Arash; Rahden,  Douglas; Heintz,  Joerg; Filla,  Greg; DiNovi,  Jason; Mensah,  Edward",American Medical Informatics Association,2016
,81,Big-Data Visualization,"Keim, D.; Qu, H.; Ma, K. L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,82,Big-data analysis for carbon emission reduction from cars: Towards walkable green smart community,"Yamagata, Yoshiki; Murakami, Daisuke; Wu, Yihan; Yang, Perry Pei-Ju; Yoshida, Takahiro; Binder, Robert","Elsevier Science B.V., Amsterdam",2019
,83,Data Transfer Scheduling for Maximizing Throughput of Big-Data Computing in Cloud Systems,"Xie, R.; Jia, X.",IEEE,2018
,84,BIG DATA/BIG COMPUTE TECHNOLOGIES AND THE REALM OF POSSIBILITIES: The Emergence of Real-Time Risk Enterprises in the Capital Markets Industry,MAYIZ HABBAL,Institutional Investor,2014
,85,BIG-DATA APPROACHES TO PROTEIN STRUCTURE PREDICTION Metagenomics sequence data give protein structure prediction a boost,"Söding,  J.",AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2017
,86,"Big-Data Analysis, Cluster Analysis, and Machine-Learning Approaches","Alonso-Betanzos, Amparo; Bolón-Canedo, Verónica",Kluwer Academic Publishers,2018
,87,Big-Data-Technologien in der Fahrzeugentwicklung,"Abthoff, T.",Springer Science + Business Media,2016
,88,Big-Data Approach for Three-Dimensional Building Extraction from Aerial Laser Scanning,"Aljumaily,  Harith; Laefer,  Debra F.; Cuadra,  Dolores",ASCE AMERICAN SOCIETY OF CIVIL ENGINEERS,2016
,89,Big-Data-Based Intelligent Spectrum Sensing for Heterogeneous Spectrum Communications in 5G,"Liu, Xin; Sun, Qingquan; Lu, Weidang; Wu, Celimuge; Ding, Hua",IEEE,2020
,90,Big-data analytics: a critical review and some future directions,"JovanoviÄ, UroÅ¡; Å timec, AleÅ¡; VladuÅ¡iÄ, Daniel; Papa, Gregor; Å ilc, Jurij",Inderscience,2015
,91,Big-Data for Satellite Yearly Reports Generation (AIAA 2018-2368),"Hennion, Nicolas",AIAA,2018
,92,Big-Data Mechanisms and Energy-Policy Design,"Pat,  Ankit; Larson,  Kate; Keshav,  Srinivasen",American Association for Artificial Intelligence,2016
,93,Big-Sensing-Data Curation for the Cloud is Coming: A Promise of Scalable Cloud-Data-Center Mitigation for Next-Generation IoT and Wireless Sensor Networks,"Yang, C.; Puthal, D.; Mohanty, S.; Kougianos, E.",IEEE,2017
,94,Big-data analysis of phase-formation rules in high-entropy alloys,"Zhao, Wan-li; Miao, Ding-hao; Zhang, Yong; He, Zhan-bing","ELSEVIER SCIENCE B.V., AMSTERDAM",2017
,95,Big-Data Science: Infrastructure Impact,"Monga, Inder; Prabhat,",INDIAN NATIONAL SCIENCE ACADEMY,2018
,96,Big-Data Science: Infrastructure Impact,"Monga, Inder; Prabhat,",INDIAN NATIONAL SCIENCE ACADEMY,2018
,97,Big-Data-Based Power Battery Recycling for New Energy Vehicles: Information Sharing Platform and Intelligent Transportation Optimization,"Yu, Haijun; Dai, Hongliang; Tian, Guangdong; Xie, Yinghao; Wu, Benben; Zhu, Ying; Li, Hongliang; Wu, Han",IEEE,2020
,98,Big-Data-Anwendungsfälle methodisch erarbeiten,"Franz, T.",Springer Science + Business Media,2015
,99,Big-data-based edge biomarkers: study on dynamical drug sensitivity and resistance in individuals,"Zeng, T.; Zhang, W.; Yu, X.; Liu, X.; Li, M.; Chen, L.",Oxford University Press,2016
,100,Big-Data-Geschäftsmodelle — die drei Seiten der Medaille,"Hecker, D.",Springer Science + Business Media,2016
,1,Moth-Flame Optimization-Bat Optimization: Map-Reduce Framework for Big Data Clustering Using the Moth-Flame Bat Optimization and Sparse Fuzzy C-Means,"Ravuri, Vasavi; Vasundra, S.",Mary Ann Leibert,2020
,2,"Big Data, Little Data, and Care Coordination for Medicare Beneficiaries with Medigap Coverage",unknown,Mary Ann Leibert,2015
,3,Why Big Data = Big Deal,unknown,Mary Ann Leibert,2014
,4,Remotely sensed big data for the oceans and polar regions,"Li, Xiao-Ming",John Wiley & Sons Ltd,2022
,5,"Big Data, Efficient Markets, and the End of Daily Fantasy Sports As We Know It?","Urbaczewski, Andrew; Elmore, Ryan",Mary Ann Leibert,2018
,6,Big data in support of the Sustainable Development Goals: a celebration of the establishment of the International Research Center of Big Data for Sustainable Development Goals (CBAS),"Guo, Huadong; Hackmann, Heide; Gong, Ke",John Wiley & Sons Ltd,2021
,7,Big data drives the development of Earth science,"Guo, Huadong",John Wiley & Sons Ltd,2017
,8,Big Data in Healthcare: Opportunities and Challenges,unknown,Mary Ann Leibert,2015
,9,Big Data Literature Search,unknown,Mary Ann Leibert,2014
,10,An Ensemble-Based Scalable Approach for Intrusion Detection Using Big Data Framework,"Sahu, Santosh Kumar; Mohapatra, Durga Prasad; Rout, Jitendra Kumar; Sahoo, Kshira Sagar; Luhach, Ashish Kr.",Mary Ann Leibert,2021
,11,Call for Special Issue Papers: Big Data Analytics and Intelligent Systems for Cybersecurity,"El-Latif, Ahmed A. Abd; Tawalbeh, Lo'ai; Maleh, Yassine; Saldamli, Gokay",Mary Ann Leibert,2021
,12,Call for Special Issue Papers: Big Data in Business,"Nobanee, Haitham",Mary Ann Leibert,2020
,13,Can Big Data Machines Analyze Stock Market Sentiment?,unknown,Mary Ann Leibert,2014
,14,National Surveys of Population Health: Big Data Analytics for Mobile Health Monitors,unknown,Mary Ann Leibert,2015
,15,Big data analytics capability for digital transformation in the insurance sector,"Moturi, Christopher A.; Okemwa, Vincent O.; Orwa, Daniel O.",Inderscience,2021
,16,RST-DE: Rough Sets-Based New Differential Evolution Algorithm for Scalable Big Data Feature Selection in Distributed Computing Platforms,"Thakur, Santosh; Dharavath, Ramesh; Shankar, Achyut; Singh, Prabhishek; Diwakar, Manoj; Khosravi, Mohammad R.",Mary Ann Leibert,2022
,17,Data science for oceanography: from small data to big data,"Qian, Chengcheng; Huang, Baoxiang; Yang, Xueqing; Chen, Ge",John Wiley & Sons Ltd,2022
,18,Correction to: Big Data 2016;4:60–66,unknown,Mary Ann Leibert,2016
,19,Big Data Based Security Analytics for Protecting Virtualized Infrastructures in Cloud Computing,"Win, T. Y.; Tianfield, H.; Mair, Q.",unknown,2018
,20,Research Dilemmas with Behavioral Big Data,unknown,Mary Ann Leibert,2017
,21,Call for Special Issue Papers: Big Data and the Internet-of-Things in Complex Information Systems: Selections from IoTBDS 2022 and COMPLEXIS 2022,"Chang, Victor; Kacsuk, Péter; Wills, Gary; Behringer, Reinhold",Mary Ann Leibert,2022
,22,Labor Economists Get Their Microscope: Big Data and Labor Market Analysis,unknown,Mary Ann Leibert,2015
,23,"An Efficient, Ensemble-Based Classification Framework for Big Medical Data","Khan, Firoz; Siva Prasad, Balusupati Veera Venkata; Syed, Salman Ali; Ashraf, Imran; Ramasamy, Lakshmana Kumar",Mary Ann Leibert,2022
,24,Using Big Data to Understand the Human Condition: The Kavli Human Project,unknown,Mary Ann Leibert,2015
,25,Call for Papers: Big Data,"Obradovic, Zoran",Mary Ann Leibert,2022
,26,Recent advance in earth observation big data for hydrology,"Chen, Lajiao; Wang, Lizhe",John Wiley & Sons Ltd,2018
,27,Big data (lost) in the cloud,"Di Martino, Beniamino; Aversa, Rocco; Cretella, Giuseppina; Esposito, Antonio; Kołodziej, Joanna",Inderscience,2014
,28,Big data ensemble clinical prediction for healthcare data by using deep learning model,"Rallapalli, Sreekanth; Gondkar, R.R.",Inderscience,2018
,29,Furthest-Pair-Based Binary Search Tree for Speeding Big Data Classification Using K-Nearest Neighbors,"Hassanat, A. B. A.",Mary Ann Leibert,2018
,30,Big Data Applications in Guangzhou Restaurants Analysis,"Chang, Victor; Ji, Ziyang; Xu, Qianwen Ariel",Mary Ann Leibert,2021
,31,MonkeyKing: Adaptive Parameter Tuning on Big Data Platforms with Deep Reinforcement Learning,"Du, Haizhou; Han, Ping; Xiang, Qiao; Huang, Sheng",Mary Ann Leibert,2020
,32,Online Analytical Processing for Business Intelligence in Big Data,"Patel, Jigna Ashish; Sharma, Priyanka",Mary Ann Leibert,2020
,33,Big data (lost) in the cloud,"Di Martino, Beniamino; Aversa, Rocco; Cretella, Giuseppina; Esposito, Antonio; Kołodziej, Joanna",Inderscience,2014
,34,Overcoming Resistance to Big Data and Operational Changes Through Interactive Data Visualization,"Phillips-Wren, Gloria; McKniff, Sueanne",Mary Ann Leibert,2020
,35,Big uncertain data of multiple sensors efficient processing with high order multi-hypothesis: an evidence theoretic approach,"Jafari, Hossein; Li, Xiangfang; Qian, Lijun; Aved, Alexander J.; Kroecker, Timothy S.",Inderscience,2018
,36,A Message from the Editor-in-Chief of Big Data,unknown,Mary Ann Leibert,2017
,37,Strength in Numbers: Using Big Data to Simplify Sentiment Classification,unknown,Mary Ann Leibert,2017
,38,Big data and analytics: a data management perspective in public administration,"Mittal, Prabhat",Inderscience,2020
,39,Data behaviours model for Big Data visual analytics,"Zhang, Jinson; Huang, Mao Lin",Inderscience,2016
,40,"Health big data analytics: current perspectives, challenges and potential solutions","Kuo, Mu-Hsing; Sahama, Tony; Kushniruk, Andre W.; Borycki, Elizabeth M.; Grunwell, Daniel K.",Inderscience,2014
,41,"Health big data analytics: current perspectives, challenges and potential solutions","Kuo, Mu-Hsing; Sahama, Tony; Kushniruk, Andre W.; Borycki, Elizabeth M.; Grunwell, Daniel K.",Inderscience,2014
,42,Scalable big data modelling,"Patel, Jayesh",Inderscience,2021
,43,Intelligent big data analysis: a review,"Tsai, Chun-Wei; Yang, Ya-Lan; Chiang, Ming-Chao; Yang, Chu-Sing",Inderscience,2015
,44,Leveraging Big Data analytics - case of Kenyan telecoms,"Moturi, Christopher A.; Karuga, Esther W.; Orwa, Daniel O.",Inderscience,2021
,45,Analyzing Big Smart Metering Data Towards Differentiated User Services: A Sublinear Approach,"Pan, E.; Wang, D.; Han, Z.",unknown,2016
,46,Intelligent big data analysis: a review,"Tsai, Chun-Wei; Yang, Ya-Lan; Chiang, Ming-Chao; Yang, Chu-Sing",Inderscience,2014
,47,Agile Big Data Analytics for Web-Based Systems: An Architecture-Centric Approach,"Chen, H.; Kazman, R.; Haziyev, S.",unknown,2016
,48,Clustering Big Spatiotemporal-Interval Data,"Shao, W.; Salim, F. D.; Song, A.; Bouguettaya, A.",unknown,2016
,49,A big data analytics framework for border crossing transportation,"Wang, Haibo; Huo, Da; Xu, Yaquan",Inderscience,2017
,50,Improved big data stock index prediction using deep learning with CNN and GRU,"Eapen, Jithin; Verma, Abhishek; Bein, Doina",Inderscience,2021
,51,Guest Editorial: Big Scholar Data Discovery and Collaboration,"Lin, Y.; Tong, H.; Tang, J.; Candan, K. S.",unknown,2017
,52,Speed Up Big Data Analytics by Unveiling the Storage Distribution of Sub-Datasets,"Wang, J.; Zhang, X.; Yin, J.; Wang, R.; Wu, H.; Han, D.",unknown,2018
,53,Guest Editorial: Big Scholar Data Discovery and Collaboration,"Lin, Y.; Tong, H.; Tang, J.; Candan, K. S.",unknown,2016
,54,Guest Editorial: Big Data Analytics and the Web,"Sheng, M.; Vasilakos, A. V.; Yu, Q.; You, L.",unknown,2016
,55,Guest Editorial: Big Data Analytics and the Web,"Sheng, Q. Z.; Vasilakos, A. V.; Yu, Q.; Yao, L.",unknown,2015
,56,Guest Editorial: Big Data Infrastructure I,"Chen, J.; Wang, H.",unknown,2018
,57,Resting-State fMRI Functional Connectivity: Big Data Preprocessing Pipelines and Topological Data Analysis,"Phinyomark, A.; Ibanez-Marcelo, E.; Petri, G.",unknown,2017
,58,Optimized Deep Learning for EEG Big Data and Seizure Prediction BCI via Internet of Things,"Hosseini, M.; Pompili, D.; Elisevich, K.; Soltanian-Zadeh, H.",unknown,2017
,59,Online Similarity Learning for Big Data with Overfitting,"Cong, Y.; Liu, J.; Fan, B.; Zeng, P.; Yu, H.; Luo, J.",unknown,2018
,60,Kvasir: Scalable Provision of Semantically Relevant Web Content on Big Data Framework,"Wang, L.; Tasoulis, S.; Roos, T.; Kangasharju, J.",unknown,2016
,61,An Extended Spatio-Temporal Granger Causality Model for Air Quality Estimation with Heterogeneous Urban Big Data,"Zhu, J. Y.; Sun, C.; Li, V. O.",unknown,2017
,62,Petuum: A New Platform for Distributed Machine Learning on Big Data,"Xing, E. P.; Ho, Q.; Dai, W.; Kim, J. K.; Wei, J.; Lee, S.; Zheng, X.; Xie, P.; Kumar, A.; Yu, Y.",unknown,2015
,63,Fuzzy Based Scalable Clustering Algorithms for Handling Big Data Using Apache Spark,"Bharill, N.; Tiwari, A.; Malviya, A.",unknown,2016
,64,A concentric framework for leveraging big data for business value,"Chuang, Ta-Tao; Nakatani, Kazuo; Patil, Vivek H.",Inderscience,2020
,65,DiP-SVM : Distribution Preserving Kernel Support Vector Machine for Big Data,"Singh, D.; Roy, D.; Mohan, C. K.",unknown,2017
,66,Guest Editorial: Special Issue on Big Scholar Data Discovery and Collaboration (Continued),"Lin, Y.; Tong, H.; Tang, J.; Selcuk Candan, K.",unknown,2016
,67,2016 Index IEEE Transactions on Big Data Vol. 2,unknown,unknown,2017
,68,A review on ethical concerns in big data management,"Nair, Suja R.",Inderscience,2020
,69,Deduplication on Encrypted Big Data in Cloud,"Yan, Z.; Ding, W.; Yu, X.; Zhu, H.; Deng, R. H.",unknown,2016
,70,Toward Efficient and Flexible Metadata Indexing of Big Data Systems,"Zhao, D.; Qiao, K.; Zhou, Z.; Li, T.; Lu, Z.; Xu, X.",unknown,2017
,71,Taxi-Passenger-Demand Modeling Based on Big Data from a Roving Sensor Network,"Zhang, D.; He, T.; Lin, S.; Munir, S.; Stankovic, J. A.",unknown,2017
,72,AlgorithmSeer: A System for Extracting and Searching for Algorithms in Scholarly Big Data,"Tuarob, S.; Bhatia, S.; Mitra, P.; Giles, C. L.",unknown,2016
,73,An Enhanced Visualization Method to Aid Behavioral Trajectory Pattern Recognition Infrastructure for Big Longitudinal Data,"Fang, H.; Zhang, Z.",unknown,2018
,74,Towards Max-Min Fair Resource Allocation for Stream Big Data Analytics in Shared Clouds,"Jiang, Y.; Huang, Z.; Tsang, D. H.",unknown,2018
,75,Classification and comparison of NoSQL big data models,"Sharma, Sugam; Tim, Udoyara Sunday; Gadia, Shashi; Wong, Johnny; Shandilya, Ritu; Peddoju, Sateesh K.",Inderscience,2015
,76,A survey and development on context-aware monitoring in healthcare with big data,"Reeja, S.R.; Baig, Murthuza Ali; Cherian, Rino; Jothimani, K.",Inderscience,2020
